episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,100.0,34,16,9,9,27.375
1,200.0,59,29,25,5,28.17241379310345
1,300.0,81,33,46,2,28.484848484848484
1,400.0,102,37,60,5,28.83783783783784
1,500.0,123,43,77,3,29.13953488372093
1,600.0,134,46,84,4,29.217391304347824
1,700.0,160,48,102,10,28.791666666666668
1,800.0,204,54,144,6,29.25925925925926
1,900.0,238,59,173,6,29.576271186440678
1,1000.0,276,62,205,9,29.774193548387096
1,1100.0,313,72,236,5,30.5
1,1200.0,344,81,258,5,31.0
1,1300.0,380,86,288,6,30.91860465116279
1,1400.0,427,92,330,5,30.880434782608695
1,1500.0,455,98,355,2,30.887755102040817
1,1600.0,495,104,387,4,31.0
1,1700.0,533,108,422,3,31.037037037037038
1,1800.0,566,112,450,4,30.928571428571427
1,1900.0,600,118,478,4,30.8135593220339
1,2000.0,620,122,496,2,30.770491803278688
1,2100.0,647,124,519,4,30.830645161290324
1,2200.0,668,126,541,1,30.77777777777778
1,2300.0,695,130,561,4,30.661538461538463
1,2400.0,712,132,575,5,30.666666666666668
1,2500.0,727,136,588,3,30.58823529411765
1,2600.0,750,140,608,2,30.414285714285715
1,2700.0,773,147,623,3,30.612244897959183
1,2800.0,797,153,640,4,30.666666666666668
1,2900.0,818,156,658,4,30.67948717948718
1,3000.0,839,161,674,4,30.608695652173914
1,3100.0,862,165,695,2,30.593939393939394
1,3200.0,891,168,716,7,30.571428571428573
1,3300.0,915,172,738,5,30.61627906976744
1,3400.0,937,176,757,4,30.585227272727273
1,3500.0,965,179,777,9,30.54189944134078
1,3600.0,989,184,801,4,30.608695652173914
1,3700.0,1021,189,829,3,30.603174603174605
1,3800.0,1057,196,858,3,30.5765306122449
1,3900.0,1095,201,884,10,30.63681592039801
1,4000.0,1125,205,912,8,30.7609756097561
1,4100.0,1164,217,940,7,30.663594470046082
1,4200.0,1200,223,971,6,30.650224215246638
1,4300.0,1235,230,1000,5,30.621739130434783
1,4400.0,1262,235,1022,5,30.748936170212765
1,4500.0,1304,242,1055,7,30.768595041322314
1,4600.0,1334,246,1087,1,30.723577235772357
1,4700.0,1364,249,1110,5,30.70281124497992
1,4800.0,1412,254,1151,7,30.69291338582677
1,4900.0,1444,258,1181,5,30.724806201550386
1,5000.0,1483,265,1212,6,30.69056603773585
1,5100.0,1516,272,1236,8,30.606617647058822
1,5200.0,1557,280,1269,8,30.739285714285714
1,5300.0,1588,284,1298,6,30.742957746478872
1,5400.0,1626,288,1330,8,30.71875
1,5500.0,1663,296,1364,3,30.611486486486488
1,5600.0,1698,299,1394,5,30.598662207357858
1,5700.0,1734,303,1427,4,30.574257425742573
1,5800.0,1770,307,1459,4,30.622149837133552
1,5900.0,1808,312,1491,5,30.67628205128205
1,6000.0,1836,316,1514,6,30.693037974683545
1,6100.0,1868,327,1537,4,30.72782874617737
1,6200.0,1892,332,1557,3,30.704819277108435
1,6300.0,1917,335,1578,4,30.713432835820896
1,6400.0,1947,340,1600,7,30.711764705882352
1,6500.0,1975,347,1624,4,30.734870317002883
1,6600.0,1997,353,1638,6,30.71671388101983
1,6700.0,2031,363,1665,3,30.735537190082646
1,6800.0,2053,368,1678,7,30.744565217391305
1,6900.0,2077,378,1691,8,30.66931216931217
1,7000.0,2104,381,1718,5,30.64566929133858
1,7100.0,2131,387,1740,4,30.695090439276484
1,7200.0,2156,397,1757,2,30.760705289672543
1,7300.0,2178,402,1768,8,30.82089552238806
1,7400.0,2207,417,1787,3,30.834532374100718
1,7500.0,2231,420,1804,7,30.821428571428573
1,7600.0,2252,428,1823,1,30.85747663551402
1,7700.0,2273,432,1839,2,30.858796296296298
1,7800.0,2297,440,1851,6,30.829545454545453
1,7900.0,2325,449,1870,6,30.893095768374163
1,8000.0,2350,453,1894,3,30.8719646799117
1,8100.0,2373,455,1912,6,30.883516483516484
1,8200.0,2397,463,1929,5,30.90928725701944
1,8300.0,2422,469,1950,3,30.893390191897655
1,8400.0,2448,472,1965,11,30.89830508474576
1,8500.0,2469,476,1989,4,30.892857142857142
1,8600.0,2499,482,2013,4,30.890041493775932
1,8700.0,2524,485,2034,5,30.903092783505155
1,8800.0,2548,491,2049,8,30.91446028513238
1,8900.0,2578,504,2065,9,30.974206349206348
1,9000.0,2601,507,2091,3,30.958579881656803
1,9100.0,2623,513,2108,2,30.964912280701753
1,9200.0,2659,520,2133,6,30.93846153846154
1,9300.0,2676,523,2149,4,30.96940726577438
1,9400.0,2703,528,2174,1,30.994318181818183
1,9500.0,2727,532,2191,4,31.039473684210527
1,9600.0,2752,534,2211,7,31.04681647940075
1,9700.0,2775,542,2229,4,31.070110701107012
1,9800.0,2796,546,2246,4,31.043956043956044
1,9900.0,2813,549,2259,5,31.058287795992715
1,10000.0,2838,553,2284,1,31.075949367088608
1,10100.0,2854,556,2295,3,31.107913669064747
1,10200.0,2885,565,2317,3,31.07079646017699
1,10300.0,2911,567,2339,5,31.056437389770725
1,10400.0,2936,574,2356,6,31.022648083623693
1,10500.0,2955,581,2369,5,31.001721170395868
1,10600.0,2977,588,2386,3,30.943877551020407
1,10700.0,3001,593,2404,4,30.924114671163576
1,10800.0,3027,599,2420,8,30.936560934891485
1,10900.0,3051,608,2439,4,30.90296052631579
1,11000.0,3076,612,2460,4,30.90032679738562
1,11100.0,3095,615,2478,2,30.89268292682927
1,11200.0,3119,620,2494,5,30.89032258064516
1,11300.0,3159,629,2524,6,30.853736089030207
1,11400.0,3182,630,2548,4,30.846031746031745
1,11500.0,3204,635,2565,4,30.818897637795274
1,11600.0,3229,638,2586,5,30.822884012539184
1,11700.0,3256,645,2607,4,30.801550387596897
1,11800.0,3286,653,2624,9,30.807044410413475
1,11900.0,3305,661,2639,5,30.86535552193646
1,12000.0,3334,666,2665,3,30.846846846846848
1,12100.0,3362,673,2686,3,30.797919762258545
1,12200.0,3396,677,2716,3,30.77695716395864
1,12300.0,3421,681,2737,3,30.792951541850222
1,12400.0,3448,690,2755,3,30.782608695652176
1,12500.0,3480,697,2779,4,30.784791965566715
1,12600.0,3502,703,2799,0,30.789473684210527
1,12700.0,3519,706,2811,2,30.794617563739376
1,12800.0,3548,710,2831,7,30.759154929577466
1,12900.0,3575,717,2856,2,30.744769874476987
1,13000.0,3596,719,2875,2,30.74547983310153
1,13100.0,3622,725,2895,2,30.74206896551724
1,13200.0,3643,728,2910,5,30.72252747252747
1,13300.0,3669,735,2929,5,30.726530612244897
1,13400.0,3690,742,2944,4,30.70754716981132
1,13500.0,3711,748,2961,2,30.671122994652407
1,13600.0,3731,749,2979,3,30.671562082777037
1,13700.0,3776,756,3014,6,30.65740740740741
1,13800.0,3816,762,3050,4,30.674540682414698
1,13900.0,3856,767,3083,6,30.684485006518905
1,14000.0,3887,773,3112,2,30.73868046571798
1,14100.0,3920,777,3137,6,30.74002574002574
1,14200.0,3954,783,3167,4,30.711366538952745
1,14300.0,3988,791,3191,6,30.715549936788875
1,14400.0,4032,798,3229,5,30.715538847117795
1,14500.0,4070,808,3258,4,30.685643564356436
1,14600.0,4114,810,3300,4,30.68148148148148
1,14700.0,4162,821,3336,5,30.66504263093788
1,14800.0,4195,827,3360,8,30.694074969770252
