episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,100.0,18,11,5,2,28.636363636363637
1,200.0,38,18,17,3,29.38888888888889
1,300.0,57,21,32,4,29.80952380952381
1,400.0,77,27,47,3,30.666666666666668
1,500.0,94,32,62,0,32.03125
1,600.0,109,35,70,4,31.771428571428572
1,700.0,124,40,79,5,31.775
1,800.0,142,43,93,6,31.906976744186046
1,900.0,166,45,116,5,31.866666666666667
1,1000.0,181,49,126,6,31.79591836734694
1,1100.0,205,57,144,4,31.614035087719298
1,1200.0,227,63,161,3,31.476190476190474
1,1300.0,240,68,168,4,31.485294117647058
1,1400.0,258,74,176,8,31.486486486486488
1,1500.0,270,78,187,5,31.525641025641026
1,1600.0,284,83,199,2,31.289156626506024
1,1700.0,304,87,208,9,31.229885057471265
1,1800.0,321,93,222,6,31.053763440860216
1,1900.0,334,99,233,2,30.92929292929293
1,2000.0,351,101,248,2,30.940594059405942
1,2100.0,370,105,259,6,30.685714285714287
1,2200.0,385,109,272,4,30.623853211009173
1,2300.0,403,111,286,6,30.53153153153153
1,2400.0,433,115,313,5,30.469565217391306
1,2500.0,455,119,333,3,30.34453781512605
1,2600.0,482,122,354,6,30.24590163934426
1,2700.0,510,125,381,4,30.296
1,2800.0,532,131,397,4,30.3206106870229
1,2900.0,563,138,421,4,30.333333333333332
1,3000.0,590,144,442,4,30.208333333333332
1,3100.0,616,148,463,5,30.263513513513512
1,3200.0,650,153,490,7,30.352941176470587
1,3300.0,675,161,509,5,30.36024844720497
1,3400.0,704,165,532,7,30.515151515151516
1,3500.0,728,169,558,1,30.497041420118343
1,3600.0,764,178,579,7,30.679775280898877
1,3700.0,784,184,596,4,30.766304347826086
1,3800.0,814,188,619,7,30.638297872340427
1,3900.0,844,191,649,4,30.581151832460733
1,4000.0,866,198,666,2,30.454545454545453
1,4100.0,890,201,683,6,30.507462686567163
1,4200.0,909,209,696,4,30.507177033492823
1,4300.0,935,216,714,5,30.38888888888889
1,4400.0,956,220,735,1,30.422727272727272
1,4500.0,973,225,742,6,30.435555555555556
1,4600.0,991,231,758,2,30.445887445887447
1,4700.0,1006,233,770,3,30.390557939914164
1,4800.0,1024,236,787,1,30.35169491525424
1,4900.0,1039,240,797,2,30.279166666666665
1,5000.0,1055,241,811,3,30.265560165975103
1,5100.0,1070,243,824,3,30.279835390946502
1,5200.0,1095,249,842,4,30.100401606425702
1,5300.0,1109,253,854,2,30.09486166007905
1,5400.0,1128,258,868,2,30.08139534883721
1,5500.0,1141,261,875,5,30.06513409961686
1,5600.0,1161,266,892,3,30.082706766917294
1,5700.0,1176,267,904,5,30.086142322097377
1,5800.0,1198,272,923,3,30.044117647058822
1,5900.0,1223,276,945,2,30.028985507246375
1,6000.0,1243,284,955,4,29.940140845070424
1,6100.0,1270,290,974,6,29.913793103448278
1,6200.0,1281,293,985,3,29.959044368600683
1,6300.0,1296,296,999,1,29.97635135135135
1,6400.0,1319,299,1013,7,30.006688963210703
1,6500.0,1355,304,1046,5,30.05263157894737
1,6600.0,1380,311,1064,5,30.160771704180064
1,6700.0,1402,315,1081,6,30.133333333333333
1,6800.0,1429,323,1101,5,30.089783281733745
1,6900.0,1458,328,1125,5,30.0609756097561
1,7000.0,1475,331,1141,3,30.06646525679758
1,7100.0,1484,336,1148,0,30.095238095238095
1,7200.0,1514,343,1167,4,30.096209912536445
1,7300.0,1542,350,1188,4,30.082857142857144
1,7400.0,1571,356,1210,5,30.15730337078652
1,7500.0,1592,358,1228,6,30.178770949720672
1,7600.0,1616,364,1246,6,30.1510989010989
1,7700.0,1643,369,1269,5,30.14092140921409
1,7800.0,1661,374,1284,3,30.11764705882353
1,7900.0,1686,377,1306,3,30.092838196286472
1,8000.0,1698,382,1315,1,30.10994764397906
1,8100.0,1709,385,1322,2,30.101298701298703
1,8200.0,1723,390,1332,1,30.06153846153846
1,8300.0,1735,394,1341,0,30.081218274111674
1,8400.0,1752,396,1352,4,30.060606060606062
1,8500.0,1775,403,1366,6,30.034739454094293
1,8600.0,1801,408,1388,5,29.980392156862745
1,8700.0,1823,412,1405,6,29.95631067961165
1,8800.0,1842,417,1423,2,29.98800959232614
1,8900.0,1876,422,1451,3,29.96919431279621
1,9000.0,1899,428,1465,6,29.97196261682243
1,9100.0,1919,431,1486,2,29.97447795823666
1,9200.0,1940,434,1501,5,29.953917050691246
1,9300.0,1960,439,1513,8,29.938496583143507
1,9400.0,1974,443,1526,5,29.939051918735892
1,9500.0,1990,448,1542,0,29.950892857142858
1,9600.0,2011,452,1557,2,29.922566371681416
1,9700.0,2034,457,1571,6,29.85995623632385
1,9800.0,2059,461,1590,8,29.86767895878525
1,9900.0,2085,469,1615,1,29.87420042643923
1,10000.0,2103,474,1625,4,29.80801687763713
1,10100.0,2135,480,1650,5,29.804166666666667
1,10200.0,2150,485,1662,3,29.797938144329898
1,10300.0,2171,490,1676,5,29.83265306122449
1,10400.0,2186,495,1690,1,29.844444444444445
1,10500.0,2211,496,1711,4,29.83266129032258
1,10600.0,2238,501,1728,9,29.830339321357286
1,10700.0,2265,508,1748,9,29.883858267716537
1,10800.0,2296,514,1777,5,29.928015564202333
1,10900.0,2321,522,1793,6,29.99808429118774
